Alert_Type,Severity,Project_ID,Item_ID,Project_Name,Condition,Current_Value,Threshold,Owner_Role,Required_Action
Forecast Incorporation Lag,High,PRJ-023,CO-00298,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-023,CO-00299,,Forecast incorporation lag is 18 days,18,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-024,CO-00308,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-024,CO-00309,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-024,CO-00312,,Forecast incorporation lag is 18 days,18,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-024,CO-00313,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-024,CO-00314,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-024,CO-00317,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-024,CO-00318,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-024,CO-00303,,Pending change age is 619 days,619,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-025,CO-00322,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-025,CO-00325,,Forecast incorporation lag is 23 days,23,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-025,CO-00333,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-025,CO-00320,,Pending change age is 572 days,572,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-025,CO-00326,,Pending change age is 565 days,565,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-025,CO-00329,,Pending change age is 772 days,772,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-025,CO-00330,,Pending change age is 565 days,565,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-025,CO-00331,,Pending change age is 846 days,846,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-026,CO-00340,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-026,CO-00338,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-026,CO-00339,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-026,CO-00335,,Pending change age is 119 days,119,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-026,CO-00336,,Pending change age is 54 days,54,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-026,CO-00341,,Pending change age is 236 days,236,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-027,CO-00344,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-027,CO-00345,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-027,CO-00349,,Forecast incorporation lag is 13 days,13,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-027,CO-00342,,Pending change age is 1399 days,1399,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-027,CO-00343,,Pending change age is 1302 days,1302,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-027,CO-00346,,Pending change age is 1369 days,1369,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-027,CO-00350,,Pending change age is 1438 days,1438,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-027,CO-00351,,Pending change age is 1402 days,1402,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-027,CO-00355,,Pending change age is 1375 days,1375,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-028,CO-00368,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-028,CO-00370,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-028,CO-00361,,Pending change age is 1270 days,1270,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-028,CO-00362,,Pending change age is 1052 days,1052,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-028,CO-00364,,Pending change age is 1105 days,1105,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-029,CO-00373,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-029,CO-00378,,Pending change age is 1065 days,1065,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-029,CO-00385,,Pending change age is 1309 days,1309,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-030,CO-00387,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-030,CO-00391,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Old Pending Change,High,PRJ-030,CO-00390,,Pending change age is 1451 days,1451,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-031,CO-00401,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-031,CO-00394,,Pending change age is 553 days,553,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-031,CO-00395,,Pending change age is 767 days,767,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-032,CO-00413,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-032,CO-00407,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-032,CO-00414,,Forecast incorporation lag is 31 days,31,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-032,CO-00406,,Pending change age is 928 days,928,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-032,CO-00410,,Pending change age is 713 days,713,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-032,CO-00411,,Pending change age is 676 days,676,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-033,CO-00419,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-033,CO-00421,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-033,CO-00423,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-033,CO-00426,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-033,CO-00428,,Forecast incorporation lag is 21 days,21,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-033,CO-00417,,Pending change age is 866 days,866,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-033,CO-00422,,Pending change age is 836 days,836,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-033,CO-00425,,Pending change age is 1089 days,1089,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-034,CO-00431,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-034,CO-00435,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-034,CO-00436,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-034,CO-00439,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-034,CO-00441,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-035,CO-00445,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-035,CO-00442,,Pending change age is 525 days,525,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-035,CO-00448,,Pending change age is 489 days,489,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-035,CO-00452,,Pending change age is 912 days,912,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-036,CO-00458,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-036,CO-00455,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-036,CO-00457,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-036,CO-00460,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-036,CO-00463,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-036,CO-00459,,Pending change age is 301 days,301,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-036,CO-00462,,Pending change age is 85 days,85,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-037,CO-00476,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-037,CO-00471,,Pending change age is 374 days,374,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-037,CO-00472,,Pending change age is 800 days,800,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-037,CO-00473,,Pending change age is 464 days,464,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-038,CO-00484,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-038,CO-00478,,Forecast incorporation lag is 13 days,13,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-038,CO-00481,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-038,CO-00482,,Forecast incorporation lag is 14 days,14,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-038,CO-00477,,Pending change age is 598 days,598,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-038,CO-00486,,Pending change age is 274 days,274,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-039,CO-00491,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-039,CO-00488,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-039,CO-00490,,Forecast incorporation lag is 19 days,19,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-039,CO-00492,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-039,CO-00494,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-039,CO-00496,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-039,CO-00495,,Pending change age is 537 days,537,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-040,CO-00499,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-040,CO-00500,,Forecast incorporation lag is 15 days,15,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-040,CO-00502,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-040,CO-00504,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-040,CO-00503,,Pending change age is 531 days,531,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-040,CO-00507,,Pending change age is 685 days,685,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-040,CO-00508,,Pending change age is 446 days,446,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-040,CO-00509,,Pending change age is 42 days,42,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-041,CO-00511,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-041,CO-00515,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-041,CO-00510,,Pending change age is 1363 days,1363,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-041,CO-00513,,Pending change age is 1109 days,1109,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-041,CO-00514,,Pending change age is 1264 days,1264,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-041,CO-00516,,Pending change age is 1317 days,1317,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-041,CO-00519,,Pending change age is 1230 days,1230,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-042,CO-00532,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-042,CO-00525,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-042,CO-00526,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-042,CO-00529,,Forecast incorporation lag is 20 days,20,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-042,CO-00531,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-042,CO-00524,,Pending change age is 1128 days,1128,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-043,CO-00537,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-043,CO-00534,,Forecast incorporation lag is 13 days,13,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-043,CO-00538,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-043,CO-00540,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-043,CO-00541,,Forecast incorporation lag is 22 days,22,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-043,CO-00548,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-043,CO-00549,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-043,CO-00550,,Forecast incorporation lag is 11 days,11,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-043,CO-00535,,Pending change age is 471 days,471,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-043,CO-00542,,Pending change age is 739 days,739,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-043,CO-00543,,Pending change age is 915 days,915,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-043,CO-00544,,Pending change age is 367 days,367,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-043,CO-00552,,Pending change age is 858 days,858,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-044,CO-00553,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-044,CO-00560,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-044,CO-00554,,Pending change age is 1119 days,1119,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-044,CO-00558,,Pending change age is 464 days,464,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-045,CO-00562,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-045,CO-00565,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-045,CO-00566,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-045,CO-00567,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-045,CO-00568,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-045,CO-00569,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-045,CO-00570,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-045,CO-00571,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-045,CO-00563,,Pending change age is 317 days,317,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-045,CO-00564,,Pending change age is 289 days,289,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-046,CO-00573,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-046,CO-00580,,Pending change age is 828 days,828,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-046,CO-00582,,Pending change age is 943 days,943,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-046,CO-00583,,Pending change age is 660 days,660,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-047,CO-00588,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-047,CO-00589,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-047,CO-00590,,Forecast incorporation lag is 14 days,14,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-047,CO-00592,,Forecast incorporation lag is 13 days,13,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-047,CO-00584,,Pending change age is 664 days,664,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-047,CO-00585,,Pending change age is 837 days,837,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-047,CO-00594,,Pending change age is 602 days,602,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-047,CO-00595,,Pending change age is 638 days,638,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-048,CO-00600,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-048,CO-00606,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-048,CO-00610,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-048,CO-00613,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-048,CO-00615,,Forecast incorporation lag is 18 days,18,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-048,CO-00598,,Pending change age is 459 days,459,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-048,CO-00611,,Pending change age is 454 days,454,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-048,CO-00614,,Pending change age is 859 days,859,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-049,CO-00623,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-049,CO-00625,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-049,CO-00629,,Forecast incorporation lag is 17 days,17,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-049,CO-00627,,Pending change age is 532 days,532,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-050,CO-00632,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-050,CO-00635,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-050,CO-00637,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-050,CO-00638,,Forecast incorporation lag is 15 days,15,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00643,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00649,,Forecast incorporation lag is 21 days,21,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00650,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00652,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00659,,Forecast incorporation lag is 23 days,23,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00660,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00663,,Forecast incorporation lag is 22 days,22,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-051,CO-00664,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-051,CO-00642,,Pending change age is 1056 days,1056,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-051,CO-00656,,Pending change age is 1246 days,1246,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-051,CO-00661,,Pending change age is 888 days,888,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-051,CO-00662,,Pending change age is 861 days,861,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-052,CO-00665,,Forecast incorporation lag is 20 days,20,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-052,CO-00672,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-052,CO-00668,,Pending change age is 197 days,197,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-052,CO-00669,,Pending change age is 616 days,616,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-053,CO-00682,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-053,CO-00683,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-053,CO-00687,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-053,CO-00688,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-053,CO-00676,,Pending change age is 1216 days,1216,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-053,CO-00681,,Pending change age is 1174 days,1174,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-054,CO-00693,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
