Change_Order_ID,Project_ID,Change_Number,Change_Title,Change_Category,Initiating_Party,Discipline,Change_Type,Originating_Source,Identified_Date,Submitted_Date,Required_Decision_Date,First_Decision_Date,Approved_Date,Closed_Date,Change_Status,Submitted_Value,Negotiated_Value,Approved_Value,Requested_Schedule_Days,Approved_Schedule_Days,Revision_Count,Pricing_Status,Authorization_Type,Forecast_Incorporated_Date,Cost_Code_Group
CO-00495,PRJ-039,CO-009,Unforeseen Condition - Fire Protection Area A6,Unforeseen Condition,General Contractor,Fire Protection,Additive,Field Condition,2024-07-05,2024-07-12,2024-08-01,2024-07-28,,,Pending,1124000,,,8,0,0,Submitted,None,,Interiors
CO-00496,PRJ-039,CO-010,Design Error or Omission - Structural Area A8,Design Error or Omission,Owner,Structural,Zero-Cost,Design Revision,2025-01-26,2025-01-30,2025-02-19,2025-03-08,2025-04-06,2025-04-16,Approved,0,0,0,0,0,1,Final,Executed Change Order,2025-04-14,MEP
CO-00497,PRJ-040,CO-001,Unforeseen Condition - Civil Area A1,Unforeseen Condition,General Contractor,Civil,Additive,Field Condition,2024-07-13,2024-07-19,2024-08-08,2024-08-13,,2024-09-27,Rejected,61000,47000,0,0,0,1,Final,None,,Concrete
CO-00498,PRJ-040,CO-002,Owner-Directed Change - Specialty Systems Area A9,Owner-Directed Change,Owner,Specialty Systems,Additive,Owner Request,2025-05-26,2025-05-31,2025-06-20,2025-06-19,,2025-06-29,Withdrawn,80000,,0,0,0,1,Pricing in Progress,None,,Equipment
CO-00499,PRJ-040,CO-003,Quantity Variation - Structural Area A9,Quantity Variation,Construction Manager,Structural,Additive,Field Condition,2025-08-06,2025-08-09,2025-08-29,2025-08-16,2025-08-27,2025-09-01,Approved,62000,52000,52000,0,0,0,Final,Construction Change Directive,2025-09-05,Sitework
CO-00500,PRJ-040,CO-004,Quantity Variation - Mechanical Area C6,Quantity Variation,Subcontractor,Mechanical,Additive,Owner Request,2024-09-11,2024-09-24,2024-10-14,2024-10-11,2024-10-23,2024-11-01,Approved,52000,43000,42000,0,0,1,Final,Executed Change Order,2024-11-07,Sitework
CO-00501,PRJ-040,CO-005,Owner-Directed Change - Controls Area B6,Owner-Directed Change,Owner,Controls,Additive,Owner Request,2024-04-08,2024-04-11,2024-05-01,2024-04-23,,2024-05-13,Withdrawn,81000,,0,0,0,0,Pricing in Progress,None,,MEP
CO-00502,PRJ-040,CO-006,Schedule Acceleration - Mechanical Area B7,Schedule Acceleration,General Contractor,Mechanical,Additive,Schedule Recovery,2025-07-25,2025-08-07,2025-08-27,2025-08-26,2025-09-07,2025-09-15,Approved,2011000,1911000,1882000,0,0,0,Final,Construction Change Directive,2025-09-13,Specialties
CO-00503,PRJ-040,CO-007,Scope Clarification - Electrical Area C1,Scope Clarification,General Contractor,Electrical,Zero-Cost,Submittal Review,2024-07-11,2024-07-18,2024-08-07,2024-07-29,,,Pending,0,,,1,0,0,Submitted,None,,Interiors
CO-00504,PRJ-040,CO-008,Owner-Directed Change - Architectural Area C4,Owner-Directed Change,Owner,Architectural,Time Only,Owner Request,2025-03-21,2025-03-31,2025-04-20,2025-04-18,2025-05-19,2025-05-26,Approved,0,0,0,3,2,1,Final,Owner Authorization,2025-05-31,MEP
CO-00505,PRJ-040,CO-009,Value Engineering - Plumbing Area C7,VE,Engineer,Plumbing,Deductive,RFI,2024-04-10,2024-04-23,2024-05-13,2024-05-08,2024-05-25,2024-05-26,Approved,-235000,-214000,-208000,4,3,0,Final,Construction Change Directive,2024-05-29,Concrete
CO-00506,PRJ-040,CO-010,Value Engineering - Architectural Area C1,Value Engineering,Engineer,Architectural,Additive,Design Revision,2024-03-31,2024-04-16,2024-05-06,2024-05-01,,2024-05-16,Withdrawn,42000,,0,0,0,0,Pricing in Progress,None,,Sitework
CO-00507,PRJ-040,CO-011,Design Error or Omission - Electrical Area A10,Design Error or Omission,Engineer,Electrical,Additive,Design Revision,2024-02-09,2024-02-15,2024-03-06,2024-03-07,,,Pending,101000,,,13,0,1,Pricing in Progress,None,,MEP
CO-00508,PRJ-040,CO-012,Scope Clarification - Structural Area D1,Scope Clarification,Owner,Structural,Additive,Schedule Recovery,2024-10-07,2024-10-11,2024-10-31,2024-11-01,,,Pending,122000,115000,,2,0,1,Submitted,None,,MEP
CO-00509,PRJ-040,CO-013,Unforeseen Condition - Mechanical Area C3,Unforeseen Condition,Subcontractor,Mechanical,Zero-Cost,RFI,2025-11-01,2025-11-19,2025-12-09,2025-12-15,,,Pending,0,,,26,0,1,Submitted,None,,MEP
CO-00510,PRJ-041,CO-001,Substitution - General Area B10,Substitution,Engineer,General,Additive,RFI,2022-04-05,2022-04-08,2022-04-28,2022-04-16,,,Pending,147000,139000,,0,0,1,Negotiating,None,,Interiors
CO-00511,PRJ-041,CO-002,Design Error or Omission - Civil Area D8,Design Error or Omission,Architect,Civil,Additive,Design Revision,2022-09-06,2022-09-10,2022-09-30,2022-09-29,2022-10-19,2022-10-20,Approved,53000,41000,41000,2,1,1,Final,Owner Authorization,2022-10-25,Equipment
CO-00512,PRJ-041,CO-003,Substitution - Specialty Systems Area D2,Substitution,Owner,Specialty Systems,Additive,RFI,2022-09-24,2022-09-28,2022-10-18,2022-10-01,2022-10-07,2022-10-09,Approved,584000,456000,446000,0,0,0,Final,Executed Change Order,2022-10-12,MEP
CO-00513,PRJ-041,CO-004,Quantity Variation - Specialty Systems Area A5,Quantity Variation,Authority Having Jurisdiction,Specialty Systems,Additive,Schedule Recovery,2022-12-14,2022-12-18,2023-01-07,2022-12-24,,,Pending,437000,,,0,0,1,Negotiating,None,,Interiors
CO-00514,PRJ-041,CO-005,Value Engineering - Mechanical Area C1,Value Engineering,General Contractor,Mechanical,Deductive,RFI,2022-07-12,2022-07-16,2022-08-05,2022-07-18,,,Pending,-597000,-640000,,1,0,0,Submitted,None,,MEP
CO-00515,PRJ-041,CO-006,Design Error or Omission - Architectural Area B8,Design Error or Omission,General Contractor,Architectural,Additive,RFI,2022-05-20,2022-06-02,2022-06-22,2022-06-11,2022-06-25,2022-07-04,Approved,2483000,2275000,2307000,0,0,2,Final,Construction Change Directive,2022-07-01,General Conditions
CO-00516,PRJ-041,CO-007,Owner-Directed Change - Controls Area C2,Owner-Directed Change,Owner,Controls,Additive,Owner Request,2022-05-22,2022-05-24,2022-06-13,2022-05-31,,,Pending,1411000,1440000,,0,0,0,Submitted,None,,General Conditions
CO-00517,PRJ-041,CO-008,Scope Clarification - Specialty Systems Area B7,Scope Clarification,Owner,Specialty Systems,Zero-Cost,Field Condition,2022-10-07,2022-10-14,2022-11-03,2022-10-21,,2022-10-27,Withdrawn,0,,0,0,0,1,ROM,None,,General Conditions
CO-00518,PRJ-041,CO-009,Quantity Variation - Civil Area D8,Quantity Variation,Engineer,Civil,Deductive,Schedule Recovery,2022-02-20,2022-02-23,2022-03-15,2022-03-10,2022-03-23,2022-03-29,Approved,-678000,-518000,-504000,0,0,0,Final,Executed Change Order,2022-03-25,Specialties
CO-00519,PRJ-041,CO-010,Unforeseen Condition - Structural Area D9,Unforeseen Condition,General Contractor,Structural,Additive,RFI,2022-08-16,2022-08-19,2022-09-08,2022-08-29,,,Pending,1915000,,,25,0,1,Submitted,None,,Envelope
CO-00520,PRJ-041,CO-011,Schedule Acceleration - Mechanical Area B2,Schedule Acceleration,Architect,Mechanical,Additive,Design Revision,2022-03-13,2022-03-17,2022-04-06,2022-03-24,2022-03-28,2022-04-03,Approved,731000,573000,579000,0,0,0,Final,Owner Authorization,2022-03-31,MEP
CO-00521,PRJ-041,CO-012,Quantity Variation - Civil Area D4,Quantity Variation,Engineer,Civil,Additive,Owner Request,2022-02-28,2022-03-02,2022-03-22,2022-03-05,2022-03-08,2022-03-17,Approved,530000,440000,432000,0,0,0,Final,Executed Change Order,2022-03-09,Sitework
CO-00522,PRJ-042,CO-001,Owner-Directed Change - Electrical Area A9,Owner-Directed Change,Owner,Electrical,Additive,Owner Request,2023-06-29,2023-07-08,2023-07-28,2023-07-19,,2023-07-29,Rejected,68000,41000,0,4,0,1,Final,None,,Envelope
CO-00523,PRJ-042,CO-002,Schedule Acceleration - Fire Protection Area B8,Schedule Acceleration,Engineer,Fire Protection,Deductive,Field Condition,2023-10-19,2023-10-28,2023-11-17,2023-11-27,2023-12-11,2023-12-17,Approved,-195000,-158000,-155000,0,0,1,Final,Owner Authorization,2023-12-16,Interiors
CO-00524,PRJ-042,CO-003,Design Error or Omission - Mechanical Area A5,Design Error or Omission,Architect,Mechanical,Additive,RFI,2022-11-26,2022-11-29,2022-12-19,2022-12-10,,,Pending,88000,,,11,0,0,Submitted,None,,Specialties
CO-00525,PRJ-042,CO-004,Design Error or Omission - Electrical Area C6,Design Error or Omission,Architect,Electrical,Deductive,RFI,2023-10-04,2023-10-17,2023-11-06,2023-11-15,2023-11-27,2023-12-01,Approved,-297000,-262000,-256000,0,0,0,Final,Owner Authorization,2023-12-04,MEP
CO-00526,PRJ-042,CO-005,Owner-Directed Change - Architectural Area B5,Owner-Directed Change,Owner,Architectural,Additive,Owner Request,2023-01-15,2023-01-19,2023-02-08,2023-02-16,2023-03-14,2023-03-19,Approved,151000,135000,132000,0,0,0,Final,Executed Change Order,2023-03-21,General Conditions
CO-00527,PRJ-042,CO-006,Design Error or Omission - Specialty Systems Area B3,Design Error or Omission,Engineer,Specialty Systems,Additive,Submittal Review,2023-07-22,2023-07-29,2023-08-18,2023-08-15,,2023-09-02,Withdrawn,13000,,0,0,0,2,Pricing in Progress,None,,MEP
CO-00528,PRJ-042,CO-007,Unforeseen Condition - Controls Area C9,Unforeseen Condition,General Contractor,Controls,Additive,Field Condition,2023-10-05,2023-10-13,2023-11-02,2023-11-01,,2023-11-15,Rejected,86000,41000,0,0,0,0,Final,None,,Concrete
CO-00529,PRJ-042,CO-008,Design Error or Omission - Mechanical Area A10,Design Error or Omission,Architect,Mechanical,Additive,Design Revision,2023-05-31,2023-06-19,2023-07-09,2023-07-03,2023-07-27,2023-08-06,Approved,24000,19000,19000,0,0,1,Final,Executed Change Order,2023-08-16,MEP
CO-00530,PRJ-042,CO-009,Schedule Acceleration - Mechanical Area B4,Schedule Acceleration,Architect,Mechanical,Zero-Cost,RFI,2023-08-15,2023-08-17,2023-09-06,2023-10-01,2023-10-20,2023-10-21,Approved,0,0,0,0,0,1,Final,Executed Change Order,2023-10-25,Envelope
CO-00531,PRJ-042,CO-010,Code or Regulatory Requirement - Controls Area C5,Code or Regulatory Requirement,Architect,Controls,Additive,Field Condition,2023-05-24,2023-06-02,2023-06-22,2023-06-23,2023-07-29,2023-07-31,Approved,70000,65000,66000,0,0,2,Final,Owner Authorization,2023-08-04,MEP
CO-00532,PRJ-042,CO-011,Unforeseen Condition - Electrical Area B6,Unforeseen Condition,General Contractor,Electrical,Additive,Field Condition,2023-10-14,2023-10-24,2023-11-13,2023-11-02,2023-11-15,2023-11-18,Approved,579000,497000,493000,0,0,0,Final,Field Directive,,Equipment
CO-00533,PRJ-043,CO-001,Design Error or Omission - Civil Area B10,Design Error or Omission,Architect,Civil,Additive,RFI,2024-01-08,2024-01-14,2024-02-03,2024-02-01,2024-02-20,2024-02-26,Approved,594000,560000,546000,0,0,2,Final,Field Directive,2024-02-23,Interiors
CO-00534,PRJ-043,CO-002,Scope Clarification - General Area A2,Scope Clarification,Owner,General,Additive,Design Revision,2024-10-30,2024-11-07,2024-11-27,2024-11-23,2024-12-02,2024-12-10,Approved,91000,79000,80000,0,0,1,Final,Construction Change Directive,2024-12-15,MEP
CO-00535,PRJ-043,CO-003,Scope Clarification - Civil Area C7,Scope Clarification,Owner,Civil,Additive,RFI,2024-09-02,2024-09-16,2024-10-06,2024-10-15,,,Pending,55000,49000,,0,0,0,Submitted,None,,Metals
CO-00536,PRJ-043,CO-004,Schedule Acceleration - General Area B9,Schedule Acceleration,Construction Manager,General,Additive,Submittal Review,2024-09-18,2024-09-26,2024-10-16,2024-10-05,2024-10-18,2024-10-22,Approved,80000,83000,81000,13,10,1,Final,Executed Change Order,2024-10-21,Concrete
CO-00537,PRJ-043,CO-005,Owner-Directed Change - Specialty Systems Area B4,Owner-Directed Change,Owner,Specialty Systems,Additive,Owner Request,2024-03-31,2024-04-11,2024-05-01,2024-04-25,2024-05-10,2024-05-11,Approved,134000,126000,124000,0,0,0,Final,Owner Authorization,,Concrete
CO-00538,PRJ-043,CO-006,Quantity Variation - Plumbing Area B7,Quantity Variation,Authority Having Jurisdiction,Plumbing,Additive,Submittal Review,2023-06-21,2023-06-25,2023-07-15,2023-07-09,2023-06-17,2023-07-26,Approved,378000,344000,337000,0,0,1,Final,Owner Authorization,2023-07-28,Metals
CO-00539,PRJ-043,CO-007,Schedule Acceleration - Architectural Area A2,Schedule Acceleration,General Contractor,Architectural,Deductive,Design Revision,2025-02-26,2025-03-05,2025-03-25,2025-03-23,,2025-04-04,Rejected,-2116000,-1762000,0,0,0,1,Final,None,,MEP
CO-00540,PRJ-043,CO-008,Unforeseen Condition - General Area A4,Unforeseen Condition,Engineer,General,Time Only,Field Condition,2023-11-21,2023-12-08,2023-12-28,2023-12-16,2023-12-28,2023-12-31,Approved,0,0,0,8,5,0,Final,Executed Change Order,2024-01-04,MEP
CO-00541,PRJ-043,CO-009,Owner-Directed Change - Specialty Systems Area D4,Owner-Directed Change,Construction Manager,Specialty Systems,Additive,Owner Request,2023-08-06,2023-08-21,2023-09-10,2023-09-02,2023-09-12,2023-09-17,Approved,83000,81000,79000,0,0,0,Final,Executed Change Order,2023-10-04,MEP
CO-00542,PRJ-043,CO-010,Schedule Acceleration - Structural Area A6,Schedule Acceleration,Architect,Structural,Additive,Schedule Recovery,2023-12-14,2023-12-23,2024-01-12,2024-01-19,,,Pending,20000,,,0,0,2,Submitted,None,,MEP
CO-00543,PRJ-043,CO-011,Scope Clarification - Architectural Area A2,Scope Clarification,Engineer,Architectural,Additive,Design Revision,2023-06-22,2023-06-30,2023-07-20,2023-07-17,,,Pending,21000,,,0,0,1,Negotiating,None,,MEP
CO-00544,PRJ-043,CO-012,Scope Clarification - General Area C6,Scope Clarification,Owner,General,Zero-Cost,Schedule Recovery,2024-12-20,2024-12-29,2025-01-18,2025-01-09,,,Pending,0,,,0,0,1,Pricing in Progress,None,,Sitework
CO-00545,PRJ-043,CO-013,Substitution - Electrical Area D8,Substitution,Subcontractor,Electrical,Additive,Field Condition,2024-03-25,2024-04-02,2024-04-22,2024-04-07,,2024-04-16,Rejected,112000,65000,0,3,0,0,Final,None,,Interiors
CO-00546,PRJ-043,CO-014,Owner-Directed Change - Fire Protection Area C4,Owner-Directed Change,Owner,Fire Protection,Zero-Cost,Owner Request,2023-05-21,2023-06-16,2023-07-06,2023-06-24,,2023-07-09,Withdrawn,0,,0,0,0,0,Submitted,None,,Concrete
CO-00547,PRJ-043,CO-015,Unforeseen Condition - Specialty Systems Area D7,Unforeseen Condition,General Contractor,Specialty Systems,Deductive,Field Condition,2023-07-20,2023-07-22,2023-08-11,2023-07-27,2023-07-30,2023-08-05,Approved,-121000,-101000,-101000,0,0,0,Final,Owner Authorization,2023-07-31,MEP
CO-00548,PRJ-043,CO-016,Owner-Directed Change - Architectural Area D9,Owner-Directed Change,Owner,Architectural,Additive,Owner Request,2023-12-09,2023-12-12,2024-01-01,2023-12-28,2024-01-06,2024-01-08,Approved,337000,319000,320000,7,5,0,Final,Owner Authorization,2024-01-15,MEP
CO-00549,PRJ-043,CO-017,Scope Clarification - Fire Protection Area C8,Scope Clarification,Owner,Fire Protection,Additive,RFI,2024-11-11,2024-11-17,2024-12-07,2024-11-27,2024-12-15,2024-12-17,Approved,26000,20000,20000,0,0,1,Final,Owner Authorization,2024-12-21,Concrete
CO-00550,PRJ-043,CO-018,Schedule Acceleration - Mechanical Area B7,Schedule Acceleration,Owner,Mechanical,Deductive,Owner Request,2024-07-15,2024-07-19,2024-08-08,2024-08-10,2024-09-01,2024-09-07,Approved,-85000,-72000,-72000,0,0,1,Final,Owner Authorization,2024-09-12,MEP
CO-00551,PRJ-043,CO-019,Design Error or Omission - Electrical Area A6,Design Error or Omission,Engineer,Electrical,Additive,RFI,2025-02-28,2025-03-18,2025-04-07,2025-03-29,2025-04-09,2025-04-19,Approved,29000,26000,26000,0,0,0,Final,Owner Authorization,2025-04-11,MEP
CO-00552,PRJ-043,CO-020,Unforeseen Condition - Mechanical Area C4,Unforeseen Condition,Subcontractor,Mechanical,Additive,Field Condition,2023-08-22,2023-08-26,2023-09-15,2023-09-03,,,Pending,60000,51000,,5,0,0,Negotiating,None,,MEP
CO-00553,PRJ-044,CO-001,Substitution - Plumbing Area D7,Substitution,Construction Manager,Plumbing,Deductive,Schedule Recovery,2025-04-03,2025-04-10,2025-04-30,2025-04-13,2025-04-17,2025-04-23,Approved,-61000,-47000,-46000,10,6,0,Final,Executed Change Order,2025-04-24,Concrete
CO-00554,PRJ-044,CO-002,Quantity Variation - Plumbing Area B5,Quantity Variation,Engineer,Plumbing,Deductive,Field Condition,2022-12-02,2022-12-08,2022-12-28,2022-12-22,,,Pending,-645000,,,0,0,2,Submitted,None,,Concrete
CO-00555,PRJ-044,CO-003,Substitution - Mechanical Area C9,Substitution,Construction Manager,Mechanical,Deductive,RFI,2025-03-28,2025-04-01,2025-04-21,2025-04-12,2025-04-19,2025-04-23,Approved,-168000,-167000,-170000,0,0,1,Final,Owner Authorization,2025-04-22,General Conditions
CO-00556,PRJ-044,CO-004,Design Error or Omission - Civil Area A6,Design Error or Omission,Architect,Civil,Additive,RFI,2023-01-30,2023-02-01,2023-02-21,2023-02-17,,2023-03-03,Rejected,375000,299000,0,0,0,1,Final,None,,Concrete
CO-00557,PRJ-044,CO-005,Value Engineering - Structural Area D7,Value Engineering,General Contractor,Structural,Additive,Design Revision,2023-09-12,2023-09-20,2023-10-10,2023-09-24,2023-10-01,2023-10-06,Approved,231000,216000,215000,0,0,0,Final,Owner Authorization,2023-10-03,Sitework
CO-00558,PRJ-044,CO-006,Unforeseen Condition - Structural Area D5,Unforeseen Condition,Construction Manager,Structural,Deductive,Field Condition,2024-09-17,2024-09-23,2024-10-13,2024-09-28,,,Pending,-617000,-538000,,5,0,0,Pricing in Progress,None,,Metals
CO-00559,PRJ-044,CO-007,Owner-Directed Change - General Area C2,Owner-Directed Change,Owner,General,Zero-Cost,Owner Request,2022-12-27,2023-01-01,2023-01-21,2023-01-06,,2023-01-17,Rejected,0,0,0,0,0,0,Final,None,,MEP
CO-00560,PRJ-044,CO-008,Scope Clarification - Specialty Systems Area A4,Scope Clarification,Engineer,Specialty Systems,Additive,Owner Request,2024-09-29,2024-10-02,2024-10-22,2024-10-12,2024-10-22,2024-10-24,Approved,195000,157000,156000,0,0,0,Final,Construction Change Directive,2024-10-30,Interiors
CO-00561,PRJ-045,CO-001,Design Error or Omission - Plumbing Area A1,Design Error or Omission,Architect,Plumbing,Additive,Submittal Review,2025-09-03,2025-09-10,2025-09-30,2025-09-28,2025-10-19,2025-10-27,Approved,583000,476000,484000,0,0,0,Final,Executed Change Order,2025-10-24,Specialties
CO-00562,PRJ-045,CO-002,Scope Clarification - Specialty Systems Area A8,Scope Clarification,Engineer,Specialty Systems,Additive,RFI,2025-04-04,2025-04-06,2025-04-26,2025-04-16,2025-04-27,2025-05-01,Approved,79000,65000,65000,0,0,1,Final,Construction Change Directive,2025-05-07,General Conditions
CO-00563,PRJ-045,CO-003,Owner-Directed Change - Mechanical Area D2,Owner-Directed Change,Owner,Mechanical,Additive,Owner Request,2025-02-11,2025-02-17,2025-03-09,2025-02-26,,,Pending,886000,,,16,0,0,Submitted,None,,Sitework
CO-00564,PRJ-045,CO-004,Owner-Directed Change - General Area D4,Owner-Directed Change,Architect,General,Additive,Owner Request,2025-03-15,2025-03-17,2025-04-06,2025-04-09,,,Pending,3602000,,,0,0,0,Submitted,None,,Envelope
CO-00565,PRJ-045,CO-005,Schedule Acceleration - Architectural Area C6,Schedule Acceleration,Subcontractor,Architectural,Deductive,Design Revision,2025-07-13,2025-07-17,2025-08-06,2025-07-21,2025-07-27,2025-08-01,Approved,-608000,-502000,-510000,0,0,0,Final,Owner Authorization,2025-08-02,Equipment
CO-00566,PRJ-045,CO-006,Unforeseen Condition - Architectural Area D5,Unforeseen Condition,Construction Manager,Architectural,Additive,RFI,2024-06-29,2024-07-09,2024-07-29,2024-07-20,2024-08-05,2024-08-10,Approved,565000,503000,506000,0,0,1,Final,Executed Change Order,2024-08-17,Sitework
CO-00567,PRJ-045,CO-007,Design Error or Omission - Plumbing Area A7,Design Error or Omission,Architect,Plumbing,Additive,Design Revision,2025-06-30,2025-07-02,2025-07-22,2025-07-25,2025-08-10,2025-08-12,Approved,494000,475000,459000,0,0,1,Final,Executed Change Order,2025-08-16,Specialties
CO-00568,PRJ-045,CO-008,Unforeseen Condition - Controls Area B2,Unforeseen Condition,Construction Manager,Controls,Additive,Field Condition,2024-06-15,2024-06-27,2024-07-17,2024-07-05,2024-07-11,2024-07-17,Approved,358000,371000,358000,0,0,0,Final,Owner Authorization,2024-07-20,Envelope
CO-00569,PRJ-045,CO-009,Owner-Directed Change - Architectural Area D3,Owner-Directed Change,Owner,Architectural,Additive,Owner Request,2025-05-15,2025-05-18,2025-06-07,2025-05-31,2025-06-11,2025-06-14,Approved,137000,131000,128000,0,0,0,Final,Owner Authorization,2025-06-17,General Conditions
CO-00570,PRJ-045,CO-010,Substitution - Specialty Systems Area A10,Substitution,Subcontractor,Specialty Systems,Additive,Design Revision,2024-11-13,2024-11-15,2024-12-05,2024-12-02,2024-12-13,2024-12-14,Approved,39000,38000,38000,14,10,0,Final,Construction Change Directive,2024-12-20,MEP
CO-00571,PRJ-045,CO-011,Unforeseen Condition - General Area D2,Unforeseen Condition,Construction Manager,General,Additive,Field Condition,2024-05-26,2024-05-30,2024-06-19,2024-06-21,2024-07-07,2024-07-10,Approved,205000,170000,167000,0,0,1,Final,Executed Change Order,2024-07-17,General Conditions
CO-00572,PRJ-045,CO-012,Schedule Acceleration - Mechanical Area A10,Schedule Acceleration,Owner,Mechanical,Additive,Owner Request,2025-03-15,2025-03-17,2025-04-06,2025-03-25,2025-04-08,2025-04-18,Approved,297000,266000,263000,6,5,1,Final,Executed Change Order,2025-04-12,MEP
CO-00573,PRJ-046,CO-001,Design Error or Omission - Mechanical Area A4,Design Error or Omission,Engineer,Mechanical,Additive,RFI,2024-11-05,2024-11-08,2024-11-28,2024-11-28,2024-12-30,2025-01-05,Approved,355000,294000,289000,0,0,1,Final,Field Directive,2025-01-09,Metals
CO-00574,PRJ-046,CO-002,Schedule Acceleration - Specialty Systems Area B7,Schedule Acceleration,Subcontractor,Specialty Systems,Additive,Field Condition,2023-03-30,2023-04-06,2023-04-26,2023-04-29,2023-05-10,2023-05-14,Approved,351000,359000,363000,0,0,1,Final,Executed Change Order,2023-05-13,MEP
CO-00575,PRJ-046,CO-003,Unforeseen Condition - Mechanical Area C2,Unforeseen Condition,Subcontractor,Mechanical,Additive,RFI,2023-01-02,2023-01-04,2023-01-24,2023-01-14,,2023-01-29,Rejected,229000,165000,0,0,0,1,Final,None,,Interiors
CO-00576,PRJ-046,CO-004,Design Error or Omission - Civil Area C4,Design Error or Omission,Architect,Civil,Additive,Design Revision,2023-01-08,2023-01-12,2023-02-01,2023-02-09,2023-02-26,2023-02-27,Approved,73000,61000,59000,0,0,0,Final,Owner Authorization,2023-03-01,Envelope
CO-00577,PRJ-046,CO-005,Design Error or Omission - Electrical Area C2,Design Error or Omission,Architect,Electrical,Additive,Submittal Review,2023-04-18,2023-04-27,2023-05-17,2023-05-18,2023-06-03,2023-06-08,Approved,39000,33000,32000,0,0,1,Final,Executed Change Order,2023-06-05,Interiors
CO-00578,PRJ-046,CO-006,Scope Clarification - Structural Area A3,Scope Clarification,Owner,Structural,Time Only,Schedule Recovery,2023-03-09,2023-03-16,2023-04-05,2023-04-01,,2023-04-17,Rejected,0,0,0,5,0,0,Final,None,,Specialties
CO-00579,PRJ-046,CO-007,Unforeseen Condition - Specialty Systems Area A5,Unforeseen Condition,General Contractor,Specialty Systems,Zero-Cost,Field Condition,2023-03-17,2023-03-22,2023-04-11,2023-03-26,2023-04-01,2023-04-02,Approved,0,0,0,0,0,0,Final,Owner Authorization,2023-04-06,Sitework
CO-00580,PRJ-046,CO-008,Schedule Acceleration - Electrical Area D5,Schedule Acceleration,Subcontractor,Electrical,Deductive,RFI,2023-09-10,2023-09-25,2023-10-15,2023-10-03,,,Pending,-81000,-79000,,7,0,0,Pricing in Progress,None,,MEP
CO-00581,PRJ-046,CO-009,Quantity Variation - Specialty Systems Area D1,Quantity Variation,Subcontractor,Specialty Systems,Additive,Field Condition,2023-01-09,2023-01-17,2023-02-06,2023-02-02,2023-02-11,2023-02-15,Approved,87000,67000,68000,25,17,1,Final,Executed Change Order,2023-02-15,MEP
CO-00582,PRJ-046,CO-010,Design Error or Omission - Electrical Area C6,Design Error or Omission,Subcontractor,Electrical,Additive,Design Revision,2023-05-20,2023-06-02,2023-06-22,2023-06-11,,,Pending,286000,,,0,0,0,Submitted,None,,MEP
CO-00583,PRJ-046,CO-011,Unforeseen Condition - Structural Area C1,Unforeseen Condition,Authority Having Jurisdiction,Structural,Additive,RFI,2024-03-08,2024-03-11,2024-03-31,2024-04-02,,,Pending,301000,,,7,0,1,Negotiating,None,,Metals
CO-00584,PRJ-047,CO-001,Design Error or Omission - Structural Area A10,Design Error or Omission,Engineer,Structural,Additive,Design Revision,2024-02-29,2024-03-07,2024-03-27,2024-03-25,,,Pending,667000,708000,,0,0,0,Submitted,None,,Sitework
CO-00585,PRJ-047,CO-002,Design Error or Omission - Specialty Systems Area C1,Design Error or Omission,Architect,Specialty Systems,Additive,RFI,2023-09-08,2023-09-16,2023-10-06,2023-09-29,,,Pending,16000,,,1,0,0,Submitted,None,,MEP
CO-00586,PRJ-047,CO-003,Value Engineering - Civil Area A8,Value Engineering,Owner,Civil,Additive,Owner Request,2024-10-03,2024-10-04,2024-10-24,2024-10-21,,2024-11-08,Rejected,36000,30000,0,0,0,0,Final,None,,Equipment
CO-00587,PRJ-047,CO-004,Design Error or Omission - Specialty Systems Area D2,Design Error or Omission,Engineer,Specialty Systems,Additive,RFI,2023-12-19,2023-12-26,2024-01-15,2024-01-06,2024-01-17,2024-01-25,Approved,622000,572000,567000,5,3,0,Final,Executed Change Order,2024-01-22,Concrete
CO-00588,PRJ-047,CO-005,Unforeseen Condition - General Area C8,Unforeseen Condition,Subcontractor,General,Deductive,Field Condition,2023-09-10,2023-09-12,2023-10-02,2023-09-29,2023-10-07,2023-10-15,Approved,-72000,-56000,-54000,0,0,0,Final,Owner Authorization,,Interiors
CO-00589,PRJ-047,CO-006,Owner-Directed Change - General Area A7,Owner-Directed Change,Owner,General,Deductive,Owner Request,2024-11-01,2024-11-04,2024-11-24,2024-11-15,2024-12-03,2024-12-06,Approved,-102000,-83000,-81000,0,0,0,Final,Owner Authorization,2024-12-11,MEP
CO-00590,PRJ-047,CO-007,Substitution - Architectural Area C4,Substitution,Subcontractor,Architectural,Additive,Submittal Review,2025-01-18,2025-01-23,2025-02-12,2025-02-04,2025-02-15,2025-02-22,Approved,332000,328000,330000,0,0,1,Final,Owner Authorization,2025-03-01,Interiors
CO-00591,PRJ-047,CO-008,Scope Clarification - Architectural Area A3,Scope Clarification,Engineer,Architectural,Deductive,Field Condition,2024-11-04,2024-11-06,2024-11-26,2024-11-19,2024-11-25,2024-11-29,Approved,-112000,-97000,-98000,0,0,0,Final,Executed Change Order,2024-11-29,MEP
